isolate,start,end
72407.2546.con.0003|provirus_198056_249075,198056,249075
72407.2696.con.0016|provirus_56349_95513,56349,95513
72407.2696.con.0038|provirus_1_12032,1,12032
72407.2338.con.0004|provirus_151985_193204,151985,193204
72407.2338.con.0019|provirus_75522_85901,75522,85901
72407.2338.con.0050|provirus_77_10211,77,10211
573.66355.con.0002|provirus_705507_753815,705507,753815
573.66355.con.0010|provirus_32973_89701,32973,89701
573.66355.con.0009|provirus_3_33253,3,33253
573.66022.con.0022|provirus_90_31722,90,31722
573.66022.con.0022|provirus_54804_63097,54804,63097
573.66022.con.0023|provirus_29250_54592,29250,54592
573.66022.con.0031|provirus_172_9859,172,9859
72407.2485.con.0005|provirus_86955_131164,86955,131164
72407.2485.con.0003|provirus_27911_63786,27911,63786
72407.2485.con.0020|provirus_18714_53548,18714,53548
72407.257.con.0006|provirus_125_16545,125,16545
72407.257.con.0015|provirus_84385_122542,84385,122542
72407.257.con.0013|provirus_1_11543,1,11543
72407.257.con.0001|provirus_6744_22847,6744,22847
72407.257.con.0026|provirus_55106_67526,55106,67526
573.66468.con.0022|provirus_85_49855,85,49855
574.83.con.0013|provirus_133470_164391,133470,164391
574.83.con.0020|provirus_18651_73059,18651,73059
574.83.con.0021|provirus_27555_66163,27555,66163
72407.2829.con.0022|provirus_91_31723,91,31723
72407.2829.con.0026|provirus_17_45073,17,45073
72407.2829.con.0037|provirus_20011_32042,20011,32042
72407.2493.con.0010|provirus_165960_209089,165960,209089
573.66261.con.0024|provirus_27157_49125,27157,49125
573.66261.con.0005|provirus_72928_124172,72928,124172
573.66261.con.0017|provirus_133469_144910,133469,144910
573.66261.con.0005|provirus_249922_288530,249922,288530
72407.2376.con.0012|provirus_2_24832,2,24832
72407.2376.con.0007|provirus_166903_205315,166903,205315
72407.2376.con.0004|provirus_348319_395761,348319,395761
72407.2376.con.0018|provirus_68_10746,68,10746
72407.2568.con.0012|provirus_244_29208,244,29208
72407.2568.con.0012|provirus_171480_208758,171480,208758
72407.2568.con.0022|provirus_102_13667,102,13667
72407.2568.con.0030|provirus_19986_27691,19986,27691
72407.2568.con.0009|provirus_311_19268,311,19268
573.66235.con.0012|provirus_133422_166878,133422,166878
573.66235.con.0022|provirus_24374_81440,24374,81440
72407.2826.con.0007|provirus_198023_234133,198023,234133
72407.2826.con.0031|provirus_2_43160,2,43160
72407.2826.con.0011|provirus_122383_170961,122383,170961
72407.2826.con.0041|provirus_6533_33003,6533,33003
72407.2826.con.0038|provirus_28469_40603,28469,40603
573.66441.con.0012|provirus_113481_154759,113481,154759
573.66441.con.0006|provirus_1_46065,1,46065
573.66441.con.0019|provirus_69874_87277,69874,87277
573.66441.con.0010|provirus_196196_216055,196196,216055
573.66441.con.0003|provirus_42171_81246,42171,81246
573.66441.con.0006|provirus_261831_272703,261831,272703
573.65923.con.0026|provirus_47223_91649,47223,91649
573.65923.con.0040|provirus_3_12397,3,12397
573.65923.con.0017|provirus_95511_133839,95511,133839
573.65923.con.0020|provirus_1_45401,1,45401
573.65923.con.0021|provirus_102092_116281,102092,116281
72407.261.con.0004|provirus_58_4119,58,4119
72407.261.con.0015|provirus_84385_122542,84385,122542
72407.261.con.0035|provirus_1_11543,1,11543
72407.261.con.0001|provirus_6744_22847,6744,22847
72407.261.con.0030|provirus_55106_67526,55106,67526
573.65912.con.0004|provirus_278365_295040,278365,295040
573.65912.con.0024|provirus_18600_76814,18600,76814
573.65912.con.0019|provirus_8556_26516,8556,26516
72407.2281.con.0030|provirus_3_7463,3,7463
72407.2281.con.0013|provirus_80818_128343,80818,128343
72407.2281.con.0009|provirus_164871_213920,164871,213920
72407.2281.con.0016|provirus_116388_138534,116388,138534
72407.2281.con.0019|provirus_99980_109535,99980,109535
72407.2281.con.0031|provirus_1_21390,1,21390
72407.2281.con.0006|provirus_176816_225586,176816,225586
72407.2601.con.0044|provirus_38_7610,38,7610
72407.2661.con.0001|provirus_727714_776588,727714,776588
72407.2253.con.0001|provirus_179624_213668,179624,213668
72407.2253.con.0034|provirus_9544_52266,9544,52266
573.66432.con.0015|provirus_97_13639,97,13639
573.66432.con.0007|provirus_228758_273623,228758,273623
573.66432.con.0018|provirus_3_25415,3,25415
573.66432.con.0009|provirus_206527_251690,206527,251690
573.66432.con.0009|provirus_42169_80777,42169,80777
72407.258.con.0007|provirus_125_16545,125,16545
72407.258.con.0008|provirus_82277_125767,82277,125767
72407.258.con.0014|provirus_1_11543,1,11543
72407.258.con.0002|provirus_259995_276098,259995,276098
72407.258.con.0025|provirus_55106_67526,55106,67526
573.66361.con.0023|provirus_24529_81594,24529,81594
72407.2509.con.0007|provirus_120_51243,120,51243
72407.2647.con.0002|provirus_101926_147995,101926,147995
72407.2647.con.0033|provirus_42356_54490,42356,54490
72407.2647.con.0027|provirus_71503_86216,71503,86216
72407.2647.con.0004|provirus_20731_43189,20731,43189
72407.2647.con.0008|provirus_177579_188616,177579,188616
JAODJE010000013|provirus_130425_168498,130425,168498
JAODJE010000002|provirus_350279_358457,350279,358457
JAODJE010000007|provirus_209346_232835,209346,232835
JAODJE010000007|provirus_6538_22641,6538,22641
JAODJE010000022|provirus_1_12625,1,12625
573.66493.con.0010|provirus_3_19862,3,19862
573.66493.con.0013|provirus_3_3190,3,3190
573.66493.con.0020|provirus_55194_68339,55194,68339
573.66493.con.0003|provirus_42171_81246,42171,81246
573.66493.con.0008|provirus_56360_67232,56360,67232
72407.2786.con.0080|provirus_622_14090,622,14090
573.66524.con.0021|provirus_1109_58174,1109,58174
573.66536.con.0021|provirus_24526_81591,24526,81591
JAQQWW010000028|provirus_7636_51392,7636,51392
JAQQWW010000033|provirus_377_41074,377,41074
JAQQWW010000001|provirus_164789_175687,164789,175687
72407.2831.con.0001|provirus_27156_64253,27156,64253
72407.2626.con.0009|provirus_186278_197513,186278,197513
72407.2462.con.0001|provirus_193594_227638,193594,227638
72407.2462.con.0015|provirus_60763_103578,60763,103578
573.66482.con.0012|provirus_130609_165538,130609,165538
573.66482.con.0031|provirus_106_35054,106,35054
573.66482.con.0003|provirus_210460_243789,210460,243789
573.66482.con.0004|provirus_6547_22650,6547,22650
573.66285.con.0011|provirus_27157_60613,27157,60613
573.66285.con.0002|provirus_325393_382026,325393,382026
72407.2748.con.0039|provirus_18782_28469,18782,28469
72407.2748.con.0011|provirus_147798_175389,147798,175389
72407.2748.con.0038|provirus_22752_33133,22752,33133
72407.2204.con.0004|provirus_339188_374656,339188,374656
72407.2204.con.0001|provirus_395545_435972,395545,435972
72407.2204.con.0013|provirus_101101_134734,101101,134734
72407.2204.con.0029|provirus_19421_39988,19421,39988
573.66311.con.0006|provirus_3_16313,3,16313
573.66311.con.0010|provirus_3_19862,3,19862
573.66311.con.0013|provirus_3_3190,3,3190
573.66311.con.0002|provirus_42171_81246,42171,81246
573.66311.con.0008|provirus_218464_229336,218464,229336
573.66311.con.0006|provirus_355032_371317,355032,371317
573.66439.con.0021|provirus_1110_58175,1110,58175
72407.2436.con.0010|provirus_1_41945,1,41945
72407.2436.con.0013|provirus_117284_159284,117284,159284
72407.2436.con.0011|provirus_166147_208037,166147,208037
72407.2436.con.0001|provirus_55598_89904,55598,89904
573.66259.con.0016|provirus_63641_97097,63641,97097
573.66259.con.0003|provirus_325393_382026,325393,382026
573.66413.con.0001|provirus_1232196_1286217,1232196,1286217
573.66413.con.0001|provirus_60890_105310,60890,105310
573.66413.con.0007|provirus_148964_162774,148964,162774
72407.241.con.0011|provirus_130460_154474,130460,154474
72407.241.con.0008|provirus_90348_134407,90348,134407
72407.241.con.0002|provirus_93_10180,93,10180
72407.241.con.0001|provirus_432661_448764,432661,448764
573.66438.con.0012|provirus_113481_154759,113481,154759
573.66438.con.0006|provirus_3_16313,3,16313
573.66438.con.0008|provirus_1_46065,1,46065
573.66438.con.0010|provirus_196196_216055,196196,216055
573.66438.con.0003|provirus_502177_541252,502177,541252
573.66438.con.0008|provirus_261831_272703,261831,272703
573.66438.con.0006|provirus_355033_371318,355033,371318
72407.2318.con.0034|provirus_16759_57920,16759,57920
72407.2318.con.0018|provirus_30387_82607,30387,82607
72407.2318.con.0028|provirus_10201_64993,10201,64993
72407.2318.con.0045|provirus_52_40842,52,40842
573.66357.con.0012|provirus_133470_166926,133470,166926
573.66357.con.0009|provirus_191073_229681,191073,229681
573.66037.con.0025|provirus_96_7116,96,7116
72407.2845.con.0008|provirus_69169_119109,69169,119109
72407.2845.con.0016|provirus_18600_74168,18600,74168
72407.2815.con.0006|provirus_207727_224561,207727,224561
72407.2815.con.0011|provirus_195861_202040,195861,202040
573.66412.con.0003|provirus_20_32470,20,32470
573.66412.con.0001|provirus_431047_478162,431047,478162
573.66412.con.0026|provirus_17513_25630,17513,25630
573.66412.con.0003|provirus_94619_109722,94619,109722
573.66231.con.0011|provirus_133422_166878,133422,166878
573.66231.con.0003|provirus_1109_57742,1109,57742
573.66539.con.0022|provirus_24529_81594,24529,81594
72407.268.con.0007|provirus_125_16545,125,16545
72407.268.con.0016|provirus_84385_122542,84385,122542
72407.268.con.0014|provirus_1_11543,1,11543
72407.268.con.0001|provirus_6744_22847,6744,22847
72407.268.con.0025|provirus_55106_67526,55106,67526
72407.2659.con.0023|provirus_18601_85929,18601,85929
573.66334.con.0008|provirus_42169_80777,42169,80777
573.66452.con.0021|provirus_1110_58175,1110,58175
72407.2722.con.0038|provirus_18962_52475,18962,52475
72407.2722.con.0092|provirus_127_3754,127,3754
72407.2722.con.0022|provirus_1_12351,1,12351
72407.2671.con.0002|provirus_213803_262206,213803,262206
72407.2671.con.0023|provirus_34_48750,34,48750
573.65905.con.0003|provirus_55628_92595,55628,92595
573.65905.con.0011|provirus_140_22659,140,22659
573.66379.con.0002|provirus_103076_152440,103076,152440
573.66379.con.0025|provirus_86_12159,86,12159
573.66379.con.0008|provirus_201664_228219,201664,228219
573.66379.con.0002|provirus_601282_610126,601282,610126
573.66417.con.0015|provirus_20_32479,20,32479
573.66417.con.0001|provirus_266750_313865,266750,313865
573.66417.con.0024|provirus_17513_25624,17513,25624
72407.2536.con.0016|provirus_91200_103713,91200,103713
72407.2536.con.0010|provirus_2_36500,2,36500
72407.2536.con.0033|provirus_2_8777,2,8777
72407.2536.con.0011|provirus_19933_27692,19933,27692
72407.2536.con.0003|provirus_339835_382687,339835,382687
72407.2171.con.0009|provirus_186070_235456,186070,235456
72407.2171.con.0007|provirus_116647_151952,116647,151952
72407.2171.con.0009|provirus_20_39287,20,39287
72407.2171.con.0025|provirus_531_14702,531,14702
573.66008.con.0001|provirus_314366_369871,314366,369871
72407.2342.con.0012|provirus_122383_170961,122383,170961
72407.2342.con.0017|provirus_34840_86766,34840,86766
72407.2342.con.0038|provirus_6533_33003,6533,33003
72407.2342.con.0017|provirus_127_12261,127,12261
573.67364.con.0007|provirus_226933_269578,226933,269578
573.67364.con.0026|provirus_3_45660,3,45660
573.67364.con.0004|provirus_312263_329537,312263,329537
573.67364.con.0011|provirus_42355_81527,42355,81527
72407.2327.con.0028|provirus_49119_78803,49119,78803
72407.2327.con.0007|provirus_1_22374,1,22374
72407.2327.con.0008|provirus_2_9986,2,9986
72407.2327.con.0009|provirus_182061_188104,182061,188104
72407.2327.con.0009|provirus_38189_76693,38189,76693
72407.2327.con.0014|provirus_285_11881,285,11881
72407.2327.con.0048|provirus_4067_22190,4067,22190
72407.253.con.0006|provirus_125_16545,125,16545
72407.253.con.0007|provirus_82156_126215,82156,126215
72407.253.con.0013|provirus_1_11543,1,11543
72407.253.con.0016|provirus_2_15804,2,15804
72407.253.con.0001|provirus_648429_664532,648429,664532
72407.2232.con.0011|provirus_163285_211584,163285,211584
72407.2232.con.0006|provirus_204569_238489,204569,238489
72407.2232.con.0013|provirus_756_33267,756,33267
72407.2232.con.0024|provirus_1_22562,1,22562
72407.2232.con.0013|provirus_56349_95514,56349,95514
72407.2232.con.0028|provirus_20011_32042,20011,32042
573.66216.con.0015|provirus_60663_93122,60663,93122
573.66216.con.0001|provirus_431047_478162,431047,478162
573.66216.con.0025|provirus_17513_25630,17513,25630
573.65985.con.0004|provirus_363245_406189,363245,406189
573.65985.con.0016|provirus_71_37384,71,37384
573.65985.con.0001|provirus_112626_144397,112626,144397
72407.2797.con.0005|provirus_257176_297391,257176,297391
72407.2797.con.0009|provirus_3_37849,3,37849
72407.2797.con.0026|provirus_1_12719,1,12719
72407.2797.con.0042|provirus_98_8864,98,8864
72407.2349.con.0031|provirus_1_54250,1,54250
72407.2349.con.0032|provirus_288_55792,288,55792
573.66455.con.0008|provirus_398_44306,398,44306
573.66455.con.0014|provirus_2_31849,2,31849
573.66455.con.0001|provirus_1657574_1702385,1657574,1702385
573.66228.con.0010|provirus_117694_167398,117694,167398
573.66228.con.0002|provirus_84859_131679,84859,131679
573.66228.con.0011|provirus_147493_154513,147493,154513
573.66228.con.0013|provirus_1_27775,1,27775
72407.2866.con.0006|provirus_148030_195261,148030,195261
72407.2866.con.0012|provirus_58027_103169,58027,103169
573.66221.con.0012|provirus_107402_140408,107402,140408
573.66221.con.0018|provirus_86999_96972,86999,96972
573.66221.con.0005|provirus_1_12799,1,12799
573.66221.con.0022|provirus_29846_59952,29846,59952
573.66221.con.0020|provirus_86629_94390,86629,94390
573.66221.con.0007|provirus_1_21404,1,21404
573.66221.con.0015|provirus_168_14219,168,14219
573.66221.con.0007|provirus_208109_224212,208109,224212
573.66221.con.0002|provirus_2_11733,2,11733
573.66221.con.0002|provirus_364412_379189,364412,379189
573.65968.con.0023|provirus_1_12719,1,12719
573.65968.con.0001|provirus_256757_303747,256757,303747
573.65968.con.0007|provirus_94_8860,94,8860
573.66421.con.0012|provirus_113481_154759,113481,154759
573.66421.con.0006|provirus_86_13087,86,13087
573.66421.con.0007|provirus_1_46065,1,46065
573.66421.con.0010|provirus_3_19862,3,19862
573.66421.con.0002|provirus_502177_541252,502177,541252
573.66421.con.0007|provirus_261831_272703,261831,272703
573.66421.con.0006|provirus_351808_368093,351808,368093
72407.2875.con.0017|provirus_65982_81227,65982,81227
72407.2875.con.0009|provirus_162737_189391,162737,189391
72407.2855.con.0020|provirus_2_9194,2,9194
72407.2855.con.0048|provirus_19422_32890,19422,32890
573.66044.con.0002|provirus_2_35488,2,35488
573.66044.con.0009|provirus_123206_137160,123206,137160
72407.2816.con.0024|provirus_49163_91238,49163,91238
72407.2816.con.0021|provirus_72283_97452,72283,97452
72407.2816.con.0002|provirus_73230_108321,73230,108321
72407.2816.con.0045|provirus_14834_24079,14834,24079
72407.2816.con.0009|provirus_166681_176642,166681,176642
72407.2816.con.0014|provirus_2_27481,2,27481
573.67367.con.0008|provirus_1_33404,1,33404
573.67367.con.0020|provirus_3_9238,3,9238
573.67367.con.0002|provirus_49448_60824,49448,60824
72407.2319.con.0001|provirus_456_28177,456,28177
72407.2319.con.0025|provirus_86_14721,86,14721
72407.2319.con.0001|provirus_50770_89941,50770,89941
573.66496.con.0012|provirus_130609_165538,130609,165538
573.66496.con.0032|provirus_105_35053,105,35053
573.66496.con.0002|provirus_210460_243789,210460,243789
573.66496.con.0004|provirus_6547_22650,6547,22650
72407.2189.con.0001|provirus_198023_244092,198023,244092
72407.2189.con.0029|provirus_127_12261,127,12261
72407.2189.con.0024|provirus_71503_86216,71503,86216
72407.2189.con.0003|provirus_299419_321877,299419,321877
72407.2189.con.0007|provirus_177579_188599,177579,188599
72407.2742.con.0009|provirus_94270_144210,94270,144210
72407.2678.con.0011|provirus_94534_144474,94534,144474
72407.2678.con.0013|provirus_18600_74168,18600,74168
573.66247.con.0011|provirus_27157_60613,27157,60613
573.66247.con.0003|provirus_1110_57743,1110,57743
573.66472.con.0021|provirus_1110_58175,1110,58175
72407.2618.con.0006|provirus_1_42517,1,42517
72407.2618.con.0010|provirus_1_35238,1,35238
72407.2618.con.0001|provirus_988213_1022894,988213,1022894
72407.2618.con.0010|provirus_219882_272535,219882,272535
573.67348.con.0022|provirus_41019_65006,41019,65006
573.67348.con.0006|provirus_1_43193,1,43193
573.67348.con.0002|provirus_369615_413715,369615,413715
573.67348.con.0004|provirus_41_37637,41,37637
573.67348.con.0017|provirus_94536_108407,94536,108407
573.67348.con.0001|provirus_563075_579178,563075,579178
573.66419.con.0020|provirus_3_16313,3,16313
573.66419.con.0021|provirus_1_9248,1,9248
573.66419.con.0014|provirus_113472_126139,113472,126139
573.66419.con.0010|provirus_196196_216055,196196,216055
573.66419.con.0002|provirus_42171_81246,42171,81246
573.66419.con.0011|provirus_143165_154037,143165,154037
573.66419.con.0008|provirus_267749_284034,267749,284034
72407.2276.con.0040|provirus_1_9347,1,9347
72407.2276.con.0004|provirus_139446_183835,139446,183835
72407.2276.con.0004|provirus_190627_210117,190627,210117
72407.2276.con.0035|provirus_11023_39901,11023,39901
72407.2714.con.0033|provirus_20551_61647,20551,61647
72407.2714.con.0016|provirus_87114_120810,87114,120810
72407.2714.con.0028|provirus_3_52816,3,52816
72407.2714.con.0002|provirus_366899_377580,366899,377580
72407.2714.con.0009|provirus_167679_175272,167679,175272
573.66571.con.0024|provirus_4649_52063,4649,52063
573.66571.con.0005|provirus_22439_57368,22439,57368
573.66571.con.0016|provirus_115243_125582,115243,125582
573.66571.con.0014|provirus_73073_88349,73073,88349
573.66487.con.0012|provirus_113481_154759,113481,154759
573.66487.con.0019|provirus_3_16313,3,16313
573.66487.con.0006|provirus_1_46065,1,46065
573.66487.con.0010|provirus_196196_216055,196196,216055
573.66487.con.0003|provirus_42171_81246,42171,81246
573.66487.con.0006|provirus_261831_272703,261831,272703
72407.2268.con.0004|provirus_183552_232117,183552,232117
72407.2674.con.0028|provirus_1_12719,1,12719
72407.2674.con.0030|provirus_57071_65837,57071,65837
573.66215.con.0001|provirus_60890_105310,60890,105310
72407.2533.con.0004|provirus_3_36752,3,36752
72407.2533.con.0007|provirus_196222_234059,196222,234059
72407.2533.con.0013|provirus_138009_146775,138009,146775
72407.2533.con.0027|provirus_55574_68292,55574,68292
573.66386.con.0011|provirus_3_19862,3,19862
573.66386.con.0006|provirus_353913_371316,353913,371316
573.66386.con.0002|provirus_501753_540828,501753,540828
573.66386.con.0014|provirus_113481_116668,113481,116668
573.66386.con.0010|provirus_56360_67232,56360,67232
573.66386.con.0006|provirus_2_16287,2,16287
72407.2428.con.0009|provirus_146416_154216,146416,154216
72407.2428.con.0011|provirus_120039_144963,120039,144963
72407.2428.con.0035|provirus_21_35556,21,35556
72407.2428.con.0046|provirus_20557_31552,20557,31552
72407.2428.con.0047|provirus_18649_30273,18649,30273
72407.2475.con.0022|provirus_31045_75792,31045,75792
72407.2475.con.0005|provirus_32_35260,32,35260
72407.2721.con.0026|provirus_7054_46094,7054,46094
72407.2721.con.0014|provirus_95117_133906,95117,133906
72407.2721.con.0043|provirus_68_9754,68,9754
72407.2721.con.0009|provirus_169116_183009,169116,183009
72407.2523.con.0017|provirus_91200_103713,91200,103713
72407.2523.con.0012|provirus_147179_183677,147179,183677
72407.2523.con.0001|provirus_1_28891,1,28891
72407.2523.con.0032|provirus_27158_35933,27158,35933
72407.2523.con.0010|provirus_95703_103462,95703,103462
72407.2523.con.0003|provirus_266159_306596,266159,306596
72407.2213.con.0026|provirus_29885_68162,29885,68162
72407.2213.con.0037|provirus_14225_51132,14225,51132
72407.2213.con.0008|provirus_68911_114614,68911,114614
72407.2213.con.0025|provirus_165_12008,165,12008
72407.2381.con.0020|provirus_56152_92194,56152,92194
72407.2381.con.0012|provirus_166597_183633,166597,183633
72407.2381.con.0008|provirus_97865_133080,97865,133080
573.66343.con.0003|provirus_20_32470,20,32470
573.66343.con.0002|provirus_303639_350754,303639,350754
573.66343.con.0020|provirus_308_21169,308,21169
573.66343.con.0003|provirus_94619_109722,94619,109722
72407.2752.con.0002|provirus_2_35496,2,35496
72407.2752.con.0020|provirus_2_34868,2,34868
72407.2823.con.0028|provirus_2_20277,2,20277
72407.2823.con.0030|provirus_23138_45693,23138,45693
72407.2823.con.0036|provirus_1_12032,1,12032
573.66214.con.0001|provirus_168300_222321,168300,222321
573.66214.con.0001|provirus_1348901_1392228,1348901,1392228
72407.2562.con.0017|provirus_2_25193,2,25193
72407.2562.con.0016|provirus_29475_67250,29475,67250
72407.2562.con.0021|provirus_68_10749,68,10749
72407.2584.con.0008|provirus_142910_189371,142910,189371
72407.2584.con.0028|provirus_26554_72000,26554,72000
72407.2767.con.0037|provirus_9969_17852,9969,17852
72407.2767.con.0008|provirus_3_22867,3,22867
72407.2767.con.0011|provirus_102727_139933,102727,139933
72407.2767.con.0028|provirus_3_43382,3,43382
72407.2585.con.0005|provirus_40816_88322,40816,88322
72407.2585.con.0018|provirus_2_32719,2,32719
72407.2585.con.0012|provirus_91236_135671,91236,135671
72407.2585.con.0035|provirus_27158_35926,27158,35926
72407.2585.con.0002|provirus_1_27379,1,27379
72407.2585.con.0034|provirus_18648_38695,18648,38695
573.65907.con.0002|provirus_294800_352754,294800,352754
573.65907.con.0011|provirus_2_26930,2,26930
573.65907.con.0018|provirus_3_11810,3,11810
573.65938.con.0012|provirus_3_50528,3,50528
573.65938.con.0003|provirus_233827_278823,233827,278823
573.66093.con.0021|provirus_2_9194,2,9194
573.66093.con.0042|provirus_630_14098,630,14098
72407.2777.con.0029|provirus_2_33305,2,33305
72407.2777.con.0006|provirus_1109_49533,1109,49533
72407.2777.con.0006|provirus_175283_213891,175283,213891
72407.2226.con.0003|provirus_252185_300345,252185,300345
72407.2226.con.0001|provirus_196340_255815,196340,255815
72407.2226.con.0016|provirus_27156_66417,27156,66417
573.66542.con.0021|provirus_24529_81594,24529,81594
573.66514.con.0014|provirus_1_34930,1,34930
573.66514.con.0039|provirus_2_12655,2,12655
573.66514.con.0003|provirus_93548_131032,93548,131032
573.66514.con.0006|provirus_6548_22651,6548,22651
573.66436.con.0009|provirus_203461_244163,203461,244163
573.66436.con.0005|provirus_2_45425,2,45425
573.66436.con.0009|provirus_42817_81662,42817,81662
573.66486.con.0021|provirus_1110_58175,1110,58175
72407.2604.con.0018|provirus_58766_91424,58766,91424
72407.2604.con.0005|provirus_114304_127224,114304,127224
72407.2604.con.0010|provirus_101124_135878,101124,135878
72407.2604.con.0004|provirus_298503_349032,298503,349032
72407.2873.con.0008|provirus_81888_126104,81888,126104
72407.2873.con.0015|provirus_1_24933,1,24933
72407.2873.con.0009|provirus_1_46513,1,46513
72407.2873.con.0005|provirus_318315_351748,318315,351748
72407.2873.con.0022|provirus_55689_67409,55689,67409
573.66508.con.0014|provirus_130608_165537,130608,165537
573.66508.con.0039|provirus_7821_20474,7821,20474
573.66508.con.0003|provirus_93548_131032,93548,131032
573.66508.con.0006|provirus_6547_22650,6547,22650
573.66031.con.0001|provirus_519655_551925,519655,551925
573.66031.con.0007|provirus_223336_233600,223336,233600
573.66031.con.0027|provirus_1_38157,1,38157
573.66031.con.0019|provirus_1_9285,1,9285
573.66377.con.0013|provirus_133470_166926,133470,166926
573.66377.con.0009|provirus_188985_227593,188985,227593
72407.2539.con.0012|provirus_164876_177389,164876,177389
72407.2539.con.0011|provirus_147179_183677,147179,183677
72407.2539.con.0014|provirus_128682_136441,128682,136441
72407.2539.con.0001|provirus_1_28891,1,28891
72407.2539.con.0032|provirus_2_8777,2,8777
72407.2539.con.0006|provirus_59613_100050,59613,100050
573.66252.con.0005|provirus_296856_339133,296856,339133
573.66252.con.0016|provirus_42272_77031,42272,77031
573.66252.con.0022|provirus_2_46864,2,46864
573.66399.con.0013|provirus_130615_165544,130615,165544
573.66399.con.0029|provirus_1_43205,1,43205
573.66399.con.0002|provirus_258750_296234,258750,296234
573.66399.con.0006|provirus_265891_281994,265891,281994
573.66531.con.0022|provirus_1109_58174,1109,58174
JAODJF010000013|provirus_130425_168498,130425,168498
JAODJF010000003|provirus_1_8179,1,8179
JAODJF010000007|provirus_3_23492,3,23492
JAODJF010000007|provirus_210197_226300,210197,226300
JAODJF010000022|provirus_63517_76141,63517,76141
573.66278.con.0022|provirus_32973_82677,32973,82677
573.66278.con.0025|provirus_112_23968,112,23968
573.66278.con.0029|provirus_18651_35768,18651,35768
573.66278.con.0011|provirus_147493_182388,147493,182388
573.66278.con.0024|provirus_6732_22890,6732,22890
573.66025.con.0022|provirus_42169_80777,42169,80777
573.66025.con.0024|provirus_23596_73364,23596,73364
573.67355.con.0030|provirus_9919_32957,9919,32957
573.67355.con.0012|provirus_3_40871,3,40871
573.67355.con.0028|provirus_17719_33663,17719,33663
573.67355.con.0006|provirus_199201_212954,199201,212954
573.67355.con.0006|provirus_63895_83385,63895,83385
573.67355.con.0019|provirus_6533_44638,6533,44638
573.67355.con.0008|provirus_189598_201099,189598,201099
573.66479.con.0012|provirus_130609_165538,130609,165538
573.66479.con.0031|provirus_106_35054,106,35054
573.66479.con.0003|provirus_210460_243789,210460,243789
573.66479.con.0004|provirus_6548_22651,6548,22651
72407.2188.con.0009|provirus_19421_91069,19421,91069
72407.2188.con.0031|provirus_39906_61047,39906,61047
573.66046.con.0012|provirus_3_43469,3,43469
573.66046.con.0060|provirus_1_11072,1,11072
573.66409.con.0001|provirus_1231997_1286018,1231997,1286018
573.66409.con.0001|provirus_60691_105111,60691,105111
573.66409.con.0007|provirus_74699_87709,74699,87709
72407.273.con.0012|provirus_3_24038,3,24038
72407.273.con.0006|provirus_87170_130253,87170,130253
72407.273.con.0004|provirus_207794_223464,207794,223464
72407.273.con.0019|provirus_27243_62009,27243,62009
72407.273.con.0005|provirus_197879_213982,197879,213982
72407.273.con.0030|provirus_2_12884,2,12884
72407.234.con.0005|provirus_2_3856,2,3856
72407.234.con.0030|provirus_1_11543,1,11543
72407.234.con.0001|provirus_2_15804,2,15804
72407.234.con.0001|provirus_770440_786543,770440,786543
72407.2307.con.0011|provirus_48043_97647,48043,97647
72407.2307.con.0001|provirus_699_9895,699,9895
72407.2307.con.0021|provirus_18651_37334,18651,37334
573.67342.con.0001|provirus_373243_392550,373243,392550
573.67342.con.0017|provirus_2_40438,2,40438
573.67342.con.0002|provirus_3_8961,3,8961
573.66275.con.0021|provirus_41019_75711,41019,75711
573.66275.con.0016|provirus_86999_99955,86999,99955
573.66275.con.0019|provirus_2_7763,2,7763
573.66275.con.0022|provirus_34_30140,34,30140
573.66275.con.0007|provirus_209356_230759,209356,230759
573.66275.con.0014|provirus_168_14219,168,14219
573.66275.con.0007|provirus_6548_22651,6548,22651
573.66275.con.0002|provirus_2_11733,2,11733
573.66275.con.0002|provirus_364412_379189,364412,379189
72407.2779.con.0015|provirus_102489_127421,102489,127421
72407.2779.con.0010|provirus_1_46513,1,46513
72407.2779.con.0027|provirus_2_11722,2,11722
72407.2779.con.0026|provirus_1_28478,1,28478
573.67353.con.0027|provirus_2_23983,2,23983
573.67353.con.0002|provirus_319147_362230,319147,362230
573.67353.con.0016|provirus_1_39613,1,39613
573.67353.con.0006|provirus_2_14866,2,14866
573.67353.con.0004|provirus_41_37637,41,37637
573.67353.con.0008|provirus_27157_61922,27157,61922
573.67353.con.0004|provirus_177613_224006,177613,224006
573.67353.con.0001|provirus_6548_22651,6548,22651
72407.2285.con.0015|provirus_20843_69740,20843,69740
72407.2285.con.0026|provirus_55637_79694,55637,79694
72407.2285.con.0011|provirus_52061_86820,52061,86820
72407.2285.con.0003|provirus_231788_279147,231788,279147
573.66322.con.0013|provirus_107402_140408,107402,140408
573.66322.con.0023|provirus_41020_75523,41020,75523
573.66322.con.0005|provirus_1_12799,1,12799
573.66322.con.0021|provirus_2_7763,2,7763
573.66322.con.0024|provirus_39_30145,39,30145
573.66322.con.0019|provirus_1_9974,1,9974
573.66322.con.0007|provirus_209356_230759,209356,230759
573.66322.con.0016|provirus_168_14219,168,14219
573.66322.con.0007|provirus_6548_22651,6548,22651
573.66322.con.0002|provirus_2_11733,2,11733
